slug,suitable_age,vegan_friendly,pregnancy_safe,children_safe
vit-d3,All Ages,Check label,Yes,Yes
vit-c,All Ages,Yes,Yes,Yes
vit-b-complex,All Ages,Yes,Consult GP,Yes
vit-b12,All Ages,Yes,Yes,Yes
folic-acid,All Ages,Yes,Yes,Yes
vit-a,Adults (18+),Check label,Avoid,Consult GP
vit-e,All Ages,Yes,Consult GP,Yes
vit-k,All Ages,Yes,Yes,Yes
biotin,All Ages,Yes,Consult GP,Yes
niacin,All Ages,Yes,Consult GP,Yes
vit-b5,All Ages,Yes,Yes,Yes
riboflavin-b2,All Ages,Yes,Yes,Yes
thiamine-b1,All Ages,Yes,Yes,Yes
vit-c-zinc-combo,All Ages,Yes,Consult GP,Yes
multivitamins,All Ages,Check label,Consult GP,Yes
vit-k2,All Ages,Check label,Consult GP,Yes
magnesium-tablets,All Ages,Yes,Yes,Yes
magnesium-glycinate,All Ages,Yes,Yes,Yes
magnesium-citrate,All Ages,Yes,Yes,Yes
iron-supplements,All Ages,Yes,Yes,Consult GP
zinc-supplements,All Ages,Yes,Consult GP,Yes
calcium-supplements,All Ages,Check label,Yes,Yes
selenium,Adults (18+),Yes,Consult GP,Consult GP
potassium-supplements,Adults (18+),Yes,Consult GP,Consult GP
copper,Adults (18+),Yes,Consult GP,Consult GP
chromium,Adults (18+),Yes,Consult GP,No
iodine,All Ages,Yes,Yes,Yes
boron,Adults (18+),Yes,Avoid,No
manganese,All Ages,Yes,Consult GP,Consult GP
ashwagandha,Adults (18+),Yes,Avoid,No
gingko-biloba,Adults (18+),Yes,Avoid,No
st-johns-wort,Adults (18+),Yes,Avoid,No
cbd-oil,Adults (18+),Yes,Avoid,No
l-theanine,All Ages,Yes,Consult GP,Yes
lions-mane-mushroom,Adults (18+),Yes,Consult GP,Consult GP
omega-3-fish-oil,All Ages,No,Yes,Yes
triple-omega-3-6-9,All Ages,No,Consult GP,Yes
coenzyme-q10,Adults (18+),Check label,Consult GP,Consult GP
garlic-supplements,All Ages,Yes,Consult GP,Consult GP
krill-oil,All Ages,No,Yes,Yes
resveratrol,Adults (18+),Yes,Avoid,No
algae-omega-3,All Ages,Yes,Yes,Yes
beetroot-capsules,All Ages,Yes,Consult GP,Yes
hawthorn-berry,Adults (18+),Yes,Avoid,No
whey-protein-powder,Adults (18+),No,Consult GP,No
plant-based-protein,Adults (18+),Yes,Consult GP,No
creatine,Adults (18+),Yes,Avoid,No
electrolytes,All Ages,Yes,Yes,Yes
amino-acid,Adults (18+),Check label,Consult GP,No
collagen-blends,Adults (18+),No,Consult GP,No
beta-alanine,Adults (18+),Yes,Avoid,No
probiotics-prebiotics,All Ages,Check label,Yes,Yes
apple-cider-vinegar,All Ages,Yes,Consult GP,Consult GP
l-glutamine,Adults (18+),Yes,Consult GP,No
aloe-vera-capsules,Adults (18+),Yes,Avoid,No
slippery-elm,All Ages,Yes,Consult GP,Consult GP
skin-hair-and-nails,Adults (18+),Check label,Consult GP,No
glucosamine-chondroitin,Adults (18+),No,Avoid,No
msm,Adults (18+),Yes,Avoid,No
calcium-d-mag-combo,All Ages,Check label,Yes,Yes
turmeric,All Ages,Yes,Consult GP,Consult GP
devils-claw,Adults (18+),Yes,Avoid,No
childrens-multivitamin-gummies,2–12 Years,Check label,Consult GP,Yes
baby-multivitamin-drops,0–4 Years,Check label,Consult GP,Yes
vitamin-d3-drops,All Ages,Check label,Yes,Yes
elderberry-syrup,All Ages,Yes,Consult GP,Yes
choline,All Ages,Yes,Yes,Yes
evening-primrose-oil,Adults (18+),Yes,Avoid,No
dim,Adults (18+),Yes,Avoid,No
maca-root,Adults (18+),Yes,Avoid,No
saw-palmetto,Adults (18+),Yes,Avoid,No
tribulus,Adults (18+),Yes,Avoid,No
zma,Adults (18+),Yes,Consult GP,No
shilajit,Adults (18+),Check label,Avoid,No
fenugreek,Adults (18+),Yes,Avoid,No
