name,category,description,mechanism,ingredient_name
Cholecalciferol,Vitamins,Active form of Vitamin D3; fat-soluble prohormone,"Converted in the liver to 25-hydroxyvitamin D3, then in the kidneys to the active hormone calcitriol (1,25-dihydroxyvitamin D3). Calcitriol binds nuclear vitamin D receptors (VDR) in intestinal cells to upregulate TRPV6 calcium channels, driving active calcium absorption. VDR activation also regulates over 200 genes involved in immune modulation, cell differentiation, and bone mineralisation.",Vitamin D3
Ascorbic Acid,Vitamins,Bioavailable form of Vitamin C; water-soluble antioxidant,"Acts as an electron donor, regenerating oxidised antioxidants such as alpha-tocopherol and serving as a cofactor for prolyl and lysyl hydroxylases required for collagen cross-linking. Reduces ferric iron (Fe³⁺) to the more absorbable ferrous form (Fe²⁺) in the intestinal lumen, enhancing non-haem iron uptake. Also scavenges superoxide, hydroxyl radicals, and hypochlorous acid, protecting cells from oxidative damage.",Vitamin C
Thiamine Mononitrate,Vitamins,Stable salt form of Vitamin B1,"Hydrolysed to free thiamine and phosphorylated intracellularly to thiamine pyrophosphate (TPP), the active coenzyme form. TPP is an essential cofactor for pyruvate dehydrogenase and alpha-ketoglutarate dehydrogenase, linking glycolysis to the citric acid cycle for ATP production. Also activates transketolase in the pentose phosphate pathway, supporting nucleotide synthesis and NADPH regeneration.",Vitamin B1 (Thiamine)
Riboflavin,Vitamins,Active form of Vitamin B2; yellow flavin coenzyme,"Phosphorylated to flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD), two redox coenzymes central to the mitochondrial electron transport chain (Complexes I and II). FAD is additionally required for glutathione reductase, maintaining the cellular antioxidant pool, and for the activation of vitamin B6 (pyridoxine → PLP) and folate into their active coenzyme forms. Without adequate riboflavin, the function of multiple other B vitamins is impaired.",Vitamin B2 (Riboflavin)
Nicotinamide,Vitamins,Non-flush form of Vitamin B3; NAD+ precursor,"Incorporated into NAD⁺ and NADP⁺, coenzymes participating in over 400 enzymatic redox reactions including glycolysis, the citric acid cycle, and beta-oxidation of fatty acids. NAD⁺ also serves as the obligate substrate for sirtuin deacetylases (SIRT1–7) and PARP enzymes involved in DNA repair, chromatin remodelling, and cellular stress responses. Because it bypasses the GPR109A receptor, nicotinamide does not cause the prostaglandin-mediated flushing seen with nicotinic acid.",Vitamin B3 (Niacin)
Nicotinic Acid,Vitamins,Direct NAD+ precursor; flush-inducing form of B3,"Converted to NAD⁺ via the Preiss-Handler pathway, providing the same redox coenzyme function as nicotinamide across all NAD⁺-dependent reactions. At pharmacological doses, activates the GPR109A receptor on Langerhans cells in the skin, triggering prostaglandin D2 and E2 release that causes the characteristic skin flush. Also inhibits hepatic diacylglycerol acyltransferase-2 (DGAT-2), reducing VLDL secretion and lowering plasma triglycerides.",Vitamin B3 (Niacin)
Calcium D-Pantothenate,Vitamins,Salt form of Vitamin B5 used in CoA synthesis,"Converted stepwise to 4-phosphopantetheine and incorporated into coenzyme A (CoA) and acyl carrier protein (ACP). CoA is the universal thioester-forming cofactor required for fatty acid beta-oxidation, acetyl-CoA entry into the TCA cycle, and the synthesis of steroid hormones, haem, and the neurotransmitter acetylcholine. ACP is indispensable for the fatty acid synthase (FAS) complex in de novo lipid synthesis.",Vitamin B5 (Pantothenic Acid)
Pyridoxine HCl,Vitamins,Standard supplemental form of Vitamin B6,"Phosphorylated to pyridoxal-5-phosphate (PLP), the active cofactor for over 100 enzyme reactions involving amino acid metabolism, including transamination (alanine aminotransferase, aspartate aminotransferase) and decarboxylation. PLP is essential for the synthesis of serotonin (from tryptophan), dopamine and norepinephrine (from DOPA), GABA (from glutamate), and haem (via delta-aminolevulinic acid synthase). It also supports glycogen phosphorylase, enabling hepatic glycogen mobilisation during fasting.",Vitamin B6 (Pyridoxine)
Cyanocobalamin,Vitamins,Synthetic form of Vitamin B12; converts to active coenzyme form,"Converted in tissues to two active coenzyme forms: methylcobalamin and adenosylcobalamin. Methylcobalamin is the cofactor for methionine synthase, remethylating homocysteine to methionine and regenerating active tetrahydrofolate for DNA synthesis. Adenosylcobalamin supports methylmalonyl-CoA mutase in the catabolism of odd-chain fatty acids and branched-chain amino acids, and is critical for myelin sheath synthesis and maintenance.",Vitamin B12
D-Biotin,Vitamins,Biologically active form of Biotin; coenzyme for carboxylases,"Functions as a covalently bound prosthetic group on four human carboxylase enzymes: pyruvate carboxylase (gluconeogenesis), acetyl-CoA carboxylase (fatty acid synthesis), propionyl-CoA carboxylase (amino acid catabolism), and beta-methylcrotonyl-CoA carboxylase (leucine degradation). Each enzyme uses biotin to ferry activated CO₂ between metabolic intermediates, making it essential across energy substrate metabolism. Biotin is also involved in epigenetic regulation via biotinylation of histone lysine residues.",Biotin
Pteroylmonoglutamic Acid,Vitamins,Synthetic folate used in supplements,"Reduced sequentially to dihydrofolate (DHF) then tetrahydrofolate (THF) by dihydrofolate reductase (DHFR). THF-derived one-carbon units are essential for de novo purine synthesis and thymidylate (dTMP) biosynthesis, making folate indispensable for DNA replication in rapidly dividing cells. 5-methylTHF also donates its methyl group to cobalamin for homocysteine remethylation; deficiency causes megaloblastic anaemia and, in early pregnancy, neural tube defects.",Folic Acid
Retinyl Palmitate,Vitamins,Preformed Vitamin A ester; fat-soluble,"Hydrolysed in the gut to retinol, taken up by enterocytes, re-esterified, and delivered to the liver via chylomicrons. Retinol is oxidised to retinoic acid, which binds nuclear RAR and RXR receptors to regulate transcription of genes governing epithelial cell differentiation, immune cell maturation (T-cell development), and reproduction. 11-cis-retinal, a separate metabolite, is the chromophore in rod cell opsin required for dim-light vision.",Vitamin A
d-alpha-Tocopherol,Vitamins,Natural form of Vitamin E; most bioactive tocopherol isomer,"Preferentially incorporated into cell membrane phospholipid bilayers due to its long phytyl tail, where it intercepts lipid peroxyl radicals (LOO•) by donating a hydrogen atom, breaking the chain reaction of lipid peroxidation. The resulting tocopheroxyl radical is recycled back to active vitamin E by ascorbic acid and glutathione. Also modulates protein kinase C (PKC) activity and inhibits platelet aggregation via prostaglandin I2 upregulation, independently of its antioxidant role.",Vitamin E
Phylloquinone,Vitamins,Vitamin K1; plant-derived blood-clotting cofactor,"Serves as the obligate cofactor for the enzyme gamma-glutamyl carboxylase, which carboxylates specific glutamate residues on vitamin K-dependent proteins, adding calcium-binding capacity. In blood coagulation, this activates clotting factors II (prothrombin), VII, IX, and X and anticoagulant proteins C and S, enabling the haemostatic cascade to function at sites of vascular injury. Phylloquinone's shorter side chain gives it a short half-life and primary activity in hepatic clotting factor synthesis.",Vitamin K
Menaquinone-7 (MK-7),Vitamins,Long-chain Vitamin K2; bone and cardiovascular form,"Same gamma-glutamyl carboxylase cofactor mechanism as K1, but MK-7's seven-isoprenoid side chain confers a plasma half-life of approximately 72 hours versus 1–2 hours for K1, enabling broader tissue distribution. In bone, activates osteocalcin in osteoblasts to bind calcium within hydroxyapatite; in arterial walls, activates matrix Gla protein (MGP) to inhibit vascular calcification by sequestering calcium away from smooth muscle. These extrahepatic effects are poorly achieved by phylloquinone at dietary intakes.",Vitamin K2
Magnesium Oxide,Minerals,High elemental magnesium; standard supplement form,"Dissociates in gastric acid to release Mg²⁺ ions for intestinal absorption. Magnesium is a cofactor for over 300 enzymes, most critically as part of the Mg-ATP complex required for all phosphotransferase (kinase and ATPase) reactions, including the Na⁺/K⁺-ATPase pump that maintains membrane potential. Also regulates NMDA glutamate receptor gating as a voltage-dependent channel blocker, and opposes calcium in smooth muscle relaxation.",Magnesium
Magnesium Bisglycinate,Minerals,Amino acid chelate; highly bioavailable and gentle,"The glycinate chelation protects Mg²⁺ from competing ions (calcium, phosphate, phytate) in the gut lumen, improving absorption via dipeptide (PepT1) and amino acid transporter pathways alongside the classic paracellular route. Exerts the same downstream cofactor functions as elemental magnesium — Mg-ATP complex formation, enzyme activation, and NMDA receptor modulation — with minimal osmotic laxative effect compared to oxide and sulfate salts. Preferred in individuals with sensitive digestion or high therapeutic magnesium requirements.",Magnesium
Magnesium Citrate,Minerals,Organic salt; well absorbed and gentle on digestion,"Citrate increases Mg²⁺ solubility across a wide intestinal pH range, facilitating both passive paracellular and active transcellular absorption. Absorbed citrate is metabolised to bicarbonate, mildly alkalinising the urine and reducing urinary calcium oxalate supersaturation, which may lower renal stone risk as a secondary benefit. Provides the same Mg-ATP complex and enzyme cofactor functions as other magnesium salts once absorbed.",Magnesium
Ferrous Sulfate,Minerals,Standard iron salt; high elemental iron content,"Fe²⁺ is absorbed across the duodenal brush border via the divalent metal transporter 1 (DMT1), enters the portal circulation bound to transferrin (as Fe³⁺), and is delivered to bone marrow erythroid precursors. Within developing red cells, iron is inserted into protoporphyrin IX by ferrochelatase to form haem, the oxygen-carrying core of haemoglobin. Iron also forms the catalytic centres of electron transport chain complexes (I, II, III) and iron-sulfur cluster enzymes, underpinning mitochondrial ATP production.",Iron
