name,slug,form,description,image_url
Vit D3,vit-d3,tablet,"Vitamin D3 (cholecalciferol) contributes to the normal absorption of calcium and phosphorus and helps maintain normal bones, teeth, and muscle function. Public Health England and the NHS recommend that all adults and children over four take a daily supplement of 10 micrograms (400 IU) during autumn and winter, and that people at risk of low sun exposure — including those with dark skin, those who cover their skin, and people who are housebound — take 10 micrograms year-round. The safe upper limit for adults is 100 micrograms (4,000 IU) per day; exceeding this may cause harmful levels of calcium to build up in the body. D3 is the form the body naturally produces via sunlight and is widely considered the preferred supplemental form.",/images/products/vitd3.webp
Vit C,vit-c,tablet,"Vitamin C contributes to the normal function of the immune system, the protection of cells from oxidative stress, and the maintenance of normal skin, blood vessels, bones, and cartilage. The UK recommended intake for adults is 40 mg per day, which most people can achieve through a varied diet rich in fruit and vegetables; however, a supplement may be useful if dietary intake is insufficient. The NHS advises keeping supplement doses below 1,000 mg per day, as higher amounts can cause stomach pain, diarrhoea, and flatulence. Unlike some vitamins, vitamin C cannot be stored in the body, so consistent daily intake is needed.",/images/products/vitc.webp
Vit B Complex,vit-b-complex,capsule,"A vitamin B complex supplement contains a combination of B vitamins — typically B1 (thiamine), B2 (riboflavin), B3 (niacin), B5 (pantothenic acid), B6, B7 (biotin), B9 (folate), and B12 — each of which contributes to normal energy-yielding metabolism and the reduction of tiredness and fatigue. B vitamins are water-soluble and cannot be stored in the body (except B12), so regular intake from food or supplements is important, particularly for people with restricted diets. The NHS notes that most people get sufficient B vitamins through a balanced diet, but those following a vegan diet, older adults, and people with certain medical conditions may benefit from supplementation. Each constituent vitamin has its own safe upper limit; follow label directions and do not exceed stated doses.",/images/products/vitbcomplex.webp
Vit B12,vit-b12,tablet,"Vitamin B12 contributes to normal red blood cell formation, normal neurological function, and normal energy-yielding metabolism. The UK reference nutrient intake (RNI) for adults is 1.5 micrograms per day, though B12 occurs naturally only in animal products, making vegans and strict vegetarians particularly at risk of deficiency. The NHS specifically recommends that vegans take a B12 supplement or consume B12-fortified foods regularly. Taking 2 mg or less per day from supplements is considered unlikely to cause harm.",/images/products/vitb12.webp
Folic Acid,folic-acid,tablet,"Folic acid (the synthetic form of folate, vitamin B9) contributes to the normal formation of red blood cells and plays a critical role in cell division during pregnancy. The NHS recommends that all women who are pregnant or planning to become pregnant take 400 micrograms of folic acid daily until the end of the 12th week of pregnancy to reduce the risk of neural tube defects such as spina bifida; women with a higher risk (e.g., a family history of neural tube defects or those taking certain medicines) are advised to take a higher dose of 5 mg daily under GP supervision. The safe upper limit from supplements is 1 mg per day for the general adult population; exceeding this can mask symptoms of a vitamin B12 deficiency. All adults require 200 micrograms of folate daily from dietary sources.",/images/products/folicacid.webp
Vit A,vit-a,softgel,"Vitamin A (retinol) contributes to the normal function of the immune system, the maintenance of normal vision in dim light, and healthy skin and mucous membranes. The UK recommended intake is 700 micrograms per day for men and 600 micrograms for women, and the body stores any surplus in the liver. The NHS and the Department of Health and Social Care warn that consuming more than an average of 1,500 micrograms daily over many years may increase the risk of bone fractures, particularly in older adults and postmenopausal women; pregnant women are advised to avoid all high-dose vitamin A supplements and liver products due to the risk of harm to the developing baby.",/images/products/vita.webp
Vit E,vit-e,softgel,"Vitamin E contributes to the protection of cells from oxidative stress and supports the normal function of the immune system. Men need approximately 4 mg per day and women 3 mg per day, amounts that are readily available from a diet containing vegetable oils, nuts, seeds, and wheatgerm. The Department of Health and Social Care advises that taking 540 mg (800 IU) or less of vitamin E per day from supplements is unlikely to cause harm; the body stores any excess, so daily supplementation is not essential if dietary intake is adequate.",/images/products/vite.webp
Vit K,vit-k,tablet,"Vitamin K is essential for normal blood clotting and contributes to the maintenance of normal bones. Adults need approximately 1 microgram per kilogram of body weight daily (e.g., 65 micrograms for a 65 kg adult), and most people can often obtain this from green leafy vegetables, vegetable oils, and cereal grains. The NHS advises that taking 1 mg or less per day from supplements is unlikely to cause harm; however, people taking anticoagulant medicines such as warfarin must consult their GP before taking any vitamin K supplement, as it can significantly affect how those medicines work."  ,/images/products/vitk.webp
Biotin,biotin,tablet,"Biotin (vitamin B7) contributes to normal energy-yielding metabolism, the maintenance of normal hair and skin, and the normal functioning of the nervous system. It is produced in small amounts by bacteria naturally present in the gut, and good sources include eggs, meat and nuts. The NHS considers taking 0.9 mg or less per day from supplements unlikely to cause harm; very high doses of biotin supplements have also been reported to interfere with certain laboratory blood tests, so it is advisable to inform your healthcare provider if you are supplementing.",/images/products/biotin.webp
Niacin,niacin,tablet,"Niacin (vitamin B3) contributes to normal energy-yielding metabolism, the reduction of tiredness and fatigue, and the maintenance of normal skin and nervous system function. The UK recommended intake is 16.5 mg per day for men and 13.2 mg for women; good dietary sources include meat, fish, wheat flour, eggs, and milk. The NHS advises keeping nicotinic acid (one form of niacin) supplements to no more than 17 mg per day, as higher doses can cause skin flushing and, with prolonged high-dose use, potential liver damage; nicotinamide (the other form) has a higher safe limit of 500 mg per day.",/images/products/niacin.webp
