product_slug,condition_slug,relevance_score

vit-d3,immune-support,90
vit-d3,bone-health,95
vit-d3,deficiency-support,100
vit-c,immune-support,90
vit-c,general-wellness,75
vit-b-complex,energy-metabolism,95
vit-b-complex,general-wellness,70
vit-b12,energy-metabolism,90
vit-b12,cognitive-function,70
folic-acid,prenatal-pregnancy,95
folic-acid,deficiency-support,80
vit-a,immune-support,70
vit-a,anti-ageing-skin,60
vit-e,antioxidant-protection,85
vit-k,bone-health,70
biotin,hair-growth,90
biotin,nail-strength,85
niacin,energy-metabolism,70
niacin,cholesterol-balance,70
vit-b5,energy-metabolism,75
riboflavin-b2,energy-metabolism,70
thiamine-b1,energy-metabolism,70
vit-c-zinc-combo,immune-support,95
vit-c-zinc-combo,skin-hydration,60
multivitamins,general-wellness,95
vit-k2,bone-health,90
vit-k2,heart-health,60

magnesium-tablets,muscle-nerve-function,85
magnesium-tablets,sleep-relaxation,60
magnesium-glycinate,sleep-relaxation,90
magnesium-glycinate,stress-support,75
magnesium-citrate,muscle-nerve-function,85
iron-supplements,iron-levels,100
zinc-supplements,immune-support,85
zinc-supplements,hair-growth,60
calcium-supplements,bone-teeth,95
selenium,antioxidant-protection,85
potassium-supplements,muscle-nerve-function,80
potassium-supplements,blood-pressure-support,70
copper,general-wellness,60
chromium,blood-sugar-support,90
iodine,thyroid-support,95
boron,bone-teeth,70
manganese,connective-tissue-support,70

ashwagandha,stress-support,95
ashwagandha,mood-balance,70
gingko-biloba,cognitive-function,85
gingko-biloba,circulation,65
st-johns-wort,mood-balance,90
cbd-oil,stress-support,75
cbd-oil,sleep-relaxation,70
l-theanine,sleep-relaxation,85
l-theanine,stress-support,80
lions-mane-mushroom,cognitive-function,85
lions-mane-mushroom,neuroprotection,70

omega-3-fish-oil,heart-health,95
omega-3-fish-oil,triglyceride-management,90
triple-omega-3-6-9,heart-health,75
coenzyme-q10,heart-health,90
coenzyme-q10,energy-metabolism,60
garlic-supplements,heart-health,75
garlic-supplements,cholesterol-balance,70
krill-oil,heart-health,85
resveratrol,antioxidant-protection,85
algae-omega-3,heart-health,85
beetroot-capsules,circulation,90
hawthorn-berry,heart-health,80
hawthorn-berry,circulation,70

whey-protein-powder,muscle-building,95
whey-protein-powder,recovery,85
plant-based-protein,muscle-building,85
plant-based-protein,recovery,75
creatine,strength-power,95
creatine,muscle-building,80
electrolytes,endurance-hydration,95
amino-acid,recovery,80
collagen-blends,joint-support,70
collagen-blends,collagen-production,80
beta-alanine,endurance-hydration,90
beta-alanine,preworkout-energy,70

probiotics-prebiotics,gut-flora-balance,95
probiotics-prebiotics,digestive-comfort,75
apple-cider-vinegar,acid-balance,80
l-glutamine,gut-lining-support,90
aloe-vera-capsules,digestive-comfort,80
slippery-elm,gut-lining-support,85

skin-hair-and-nails,hair-growth,85
skin-hair-and-nails,nail-strength,85
skin-hair-and-nails,skin-hydration,75

glucosamine-chondroitin,joint-pain,95
glucosamine-chondroitin,mobility-support,85
msm,joint-pain,80
calcium-d-mag-combo,bone-density,95
turmeric,inflammation-support,95
devils-claw,joint-pain,80

childrens-multivitamin-gummies,kids-daily-nutrition,95
baby-multivitamin-drops,kids-daily-nutrition,90
vitamin-d3-drops,bone-teeth-development,95
vitamin-d3-drops,kids-immunity,80
elderberry-syrup,cold-flu-support,90
choline,brain-development,90

evening-primrose-oil,hormonal-balance,85
evening-primrose-oil,womens-skin-hair,70
dim,hormonal-balance,90
maca-root,mens-vitality-energy,70
maca-root,mood-balance,60

saw-palmetto,prostate-health,95
tribulus,testosterone-support,75
zma,mens-strength-recovery,85
zma,sleep-relaxation,65
shilajit,mens-vitality-energy,85
fenugreek,testosterone-support,75
