name,short_benefits,evidence_level
Vitamin D3,Bone and immune health,A
Vitamin C,Antioxidant and immune support,A
Vitamin B12,Energy and neurological function,A
Vitamin B1 (Thiamine),Energy and heart function,A
Vitamin B2 (Riboflavin),Energy release,A
Vitamin B3 (Niacin),Energy; lipid metabolism,A
Vitamin B5 (Pantothenic Acid),Energy metabolism,A
Biotin,Hair and nail health,B
Folic Acid,Cell division; pregnancy support,A
Vitamin A,Vision and immunity,A
Vitamin E,Antioxidant protection,A
Vitamin K,Clotting; bone health,A
Vitamin K2,Bone and cardiovascular health,B
Magnesium,"Muscle, nerve, relaxation",A
Iron,Haemoglobin and energy,A
Zinc,Immunity; skin; hormones,A
Calcium,Bone and teeth,A
Selenium,Antioxidant enzyme support,A
Potassium,Electrolyte; blood pressure,A
Copper,Energy enzymes,B
Chromium,Blood glucose support,B
Iodine,Thyroid hormones,A
Boron,Bone metabolism,C
Manganese,Connective tissue enzymes,B
Sodium,Electrolyte balance,A
Chloride,Electrolyte balance,A
Ashwagandha,Stress adaptation,B
Ginkgo biloba,Circulation; cognition,B
St John’s Wort,Mood support,B
CBD,Calm and balance,C
L‑Theanine,Relaxation and focus,B
Lion’s Mane,Cognitive support,C
Omega‑3 (EPA/DHA),Heart; brain; triglycerides,A
Omega‑6,Essential fatty acid,C
Omega‑9,Monounsaturated fatty acid,C
Coenzyme Q10,Cardiac energy; antioxidant,B
Garlic,Heart and cholesterol balance,B
Krill Oil,Phospholipid omega‑3 source,B
Resveratrol,Polyphenol antioxidant,B
Beetroot (Nitrates),Circulation and stamina,B
Hawthorn,Traditional heart support,C
Whey Protein,Muscle building and recovery,A
Pea Protein,Plant protein source,B
Rice Protein,Plant protein source,B
Creatine Monohydrate,Power and strength,A
Leucine,BCAA for muscle protein synthesis,A
Isoleucine,BCAA; recovery,A
Valine,BCAA; recovery,A
Caffeine,Pre‑workout energy,A
Beta‑Alanine,Endurance and buffering,A
Citrulline Malate,Pump and performance,B
EAAs (Essential Amino Acids),Recovery and muscle,B
Collagen (Type I/III),Skin and joints,B
Collagen (Type II),Joint cartilage support,B
Vitamins & Minerals (Blend),Broad daily support,B
Probiotic Cultures,Gut flora balance,A
Inulin (Prebiotic),Feeds beneficial bacteria,A
Enzymes (Amylase/Protease/Lipase),Digestive enzyme blend,B
Acetic Acid (ACV),Acid balance; digestion,C
L‑Glutamine,Gut lining support,B
Aloe Vera,Soothing digestive support,C
Slippery Elm,Demulcent for gut lining,C
Hyaluronic Acid,Skin hydration,B
Evening Primrose Oil (GLA),Skin and hormonal balance,B
Silica,Hair/nails/connective tissue,C
Turmeric (Curcumin),Inflammation modulation,A
Boswellia,Joint comfort,B
Devil’s Claw,Joint comfort,C
Elderberry,Cold & flu support,C
Choline,Brain development and liver,A
DIM,Estrogen balance (women),C
Maca,Adaptogenic vitality,C
Myo‑Inositol,Ovarian function; PCOS support,B
Saw Palmetto,Prostate health,B
Tribulus,Traditional vitality herb,C
Shilajit,Vitality and minerals,C
D‑Aspartic Acid,Testosterone support (blend),C
ZMA Blend,"Zinc, magnesium, B6 for recovery",B
Skin/Hair/Nails Blend,"Biotin, zinc, vitamin C",B
Calcium+VitD+Mag Blend,3‑in‑1 bone support,A
Vitamin C + Zinc Combo,Dual immune support,A
