product_slug,ingredient_name
vit-d3,Vitamin D3
vit-c,Vitamin C
vit-b-complex,Vitamin B1 (Thiamine)
vit-b-complex,Vitamin B2 (Riboflavin)
vit-b-complex,Vitamin B3 (Niacin)
vit-b-complex,Vitamin B5 (Pantothenic Acid)
vit-b-complex,Biotin
vit-b-complex,Vitamin B12
vit-b12,Vitamin B12
folic-acid,Folic Acid
vit-a,Vitamin A
vit-e,Vitamin E
vit-k,Vitamin K
biotin,Biotin
niacin,Vitamin B3 (Niacin)
vit-b5,Vitamin B5 (Pantothenic Acid)
riboflavin-b2,Vitamin B2 (Riboflavin)
thiamine-b1,Vitamin B1 (Thiamine)
vit-c-zinc-combo,Vitamin C
vit-c-zinc-combo,Zinc
multivitamins,Vitamin A
multivitamins,Vitamin C
multivitamins,Vitamin D3
multivitamins,Vitamin E
multivitamins,Vitamin B1 (Thiamine)
multivitamins,Vitamin B2 (Riboflavin)
multivitamins,Vitamin B3 (Niacin)
multivitamins,Vitamin B5 (Pantothenic Acid)
multivitamins,Vitamin B6 (Pyridoxine)
multivitamins,Vitamin B12
multivitamins,Folic Acid
multivitamins,Biotin
multivitamins,Iron
multivitamins,Zinc
multivitamins,Calcium
multivitamins,Magnesium
multivitamins,Iodine
multivitamins,Selenium
vit-k2,Vitamin K2

magnesium-tablets,Magnesium
magnesium-glycinate,Magnesium
magnesium-citrate,Magnesium
iron-supplements,Iron
zinc-supplements,Zinc
calcium-supplements,Calcium
selenium,Selenium
potassium-supplements,Potassium
copper,Copper
chromium,Chromium
iodine,Iodine
boron,Boron
manganese,Manganese

ashwagandha,Ashwagandha
gingko-biloba,Ginkgo biloba
st-johns-wort,St John’s Wort
cbd-oil,CBD
l-theanine,L‑Theanine
lions-mane-mushroom,Lion’s Mane

omega-3-fish-oil,Omega‑3 (EPA/DHA)
triple-omega-3-6-9,Omega‑3 (EPA/DHA)
triple-omega-3-6-9,Omega‑6
triple-omega-3-6-9,Omega‑9
coenzyme-q10,Coenzyme Q10
garlic-supplements,Garlic
krill-oil,Omega‑3 (EPA/DHA)
resveratrol,Resveratrol
algae-omega-3,Omega‑3 (EPA/DHA)
beetroot-capsules,Beetroot (Nitrates)
hawthorn-berry,Hawthorn

whey-protein-powder,Whey Protein
plant-based-protein,Pea Protein
plant-based-protein,Rice Protein
creatine,Creatine Monohydrate
electrolytes,Sodium
electrolytes,Potassium
electrolytes,Magnesium
amino-acid,EAAs (Essential Amino Acids)
collagen-blends,Collagen (Type I/III)
beta-alanine,Beta‑Alanine

probiotics-prebiotics,Probiotic Cultures
probiotics-prebiotics,Inulin (Prebiotic)
apple-cider-vinegar,Acetic Acid (ACV)
l-glutamine,L‑Glutamine
aloe-vera-capsules,Aloe Vera
slippery-elm,Slippery Elm

skin-hair-and-nails,Biotin
skin-hair-and-nails,Zinc
skin-hair-and-nails,Vitamin C
skin-hair-and-nails,Silica

glucosamine-chondroitin,Collagen (Type II)
glucosamine-chondroitin,Turmeric (Curcumin)
msm,MSM
calcium-d-mag-combo,Calcium
calcium-d-mag-combo,Vitamin D3
calcium-d-mag-combo,Magnesium
turmeric,Turmeric (Curcumin)
devils-claw,Devil’s Claw

childrens-multivitamin-gummies,Vitamin A
childrens-multivitamin-gummies,Vitamin C
childrens-multivitamin-gummies,Vitamin D3
childrens-multivitamin-gummies,Vitamin E
childrens-multivitamin-gummies,Vitamin B6 (Pyridoxine)
childrens-multivitamin-gummies,Vitamin B12
childrens-multivitamin-gummies,Folic Acid
childrens-multivitamin-gummies,Biotin
childrens-multivitamin-gummies,Zinc
childrens-multivitamin-gummies,Iodine
baby-multivitamin-drops,Vitamin A
baby-multivitamin-drops,Vitamin C
baby-multivitamin-drops,Vitamin D3
baby-multivitamin-drops,Vitamin B12
vitamin-d3-drops,Vitamin D3
elderberry-syrup,Elderberry
choline,Choline

evening-primrose-oil,Evening Primrose Oil (GLA)
dim,DIM
maca-root,Maca

saw-palmetto,Saw Palmetto
tribulus,Tribulus
zma,Zinc
zma,Magnesium
zma,Vitamin B6 (Pyridoxine)
shilajit,Shilajit
fenugreek,Fenugreek
